Game_date=20170925;DFS_Salary_date=20170925
MLB_ID;ESPN_ID;Name(LF);Name(FL);Team;H/A;Bats;Active;FD_pos;DK_pos;DD_pos;YH_pos;FD_sal;DK_sal;DD_sal;YH_sal;NP;PA;AB;Hits;2B;3B;HR;Runs;RBI;BB;IBB;SO;HBP;SB;CS;AVG;OBP;SLG;OPS;wOBA;MLB_ID(p);ESPN_ID(p);Pitcher_name(LF);Pitcher_name(FL);P_Team;Throws;game_time;Stadium;FD_sal;DK_sal;DD_sal;YH_sal
452104;28809;Headley, Chase;Chase Headley;nyy;H;S;1;5;5;5;5;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;.000;.000;.000;.000;.000;596001;36056;Junis, Jake;Jake Junis;kc;R;1:05 PM EDT;Yankee Stadium;;;;
544369;31376;Gregorius, Didi;Didi Gregorius;nyy;H;L;1;6;6;6;6;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;.000;.000;.000;.000;.000;596001;36056;Junis, Jake;Jake Junis;kc;R;1:05 PM EDT;Yankee Stadium;;;;
519222;29470;Romine, Austin;Austin Romine;nyy;H;R;1;2;2;2;2;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;.000;.000;.000;.000;.000;596001;36056;Junis, Jake;Jake Junis;kc;R;1:05 PM EDT;Yankee Stadium;;;;
642180;33878;Wade, Tyler;Tyler Wade;nyy;H;L;1;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;.000;.000;.000;.000;.000;596001;36056;Junis, Jake;Jake Junis;kc;R;1:05 PM EDT;Yankee Stadium;;;;
609280;33743;Andujar, Miguel;Miguel Andujar;nyy;H;R;1;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;.000;.000;.000;.000;.000;596001;36056;Junis, Jake;Jake Junis;kc;R;1:05 PM EDT;Yankee Stadium;;;;
407812;5940;Holliday, Matt;Matt Holliday;nyy;H;R;1;7;7;7;7;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;.000;.000;.000;.000;.000;596001;36056;Junis, Jake;Jake Junis;kc;R;1:05 PM EDT;Yankee Stadium;;;;
458731;29174;Gardner, Brett;Brett Gardner;nyy;H;L;1;7;7;7;7;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;.000;.000;.000;.000;.000;596001;36056;Junis, Jake;Jake Junis;kc;R;1:05 PM EDT;Yankee Stadium;;;;
640449;33188;Frazier, Clint;Clint Frazier;nyy;H;R;1;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;.000;.000;.000;.000;.000;596001;36056;Junis, Jake;Jake Junis;kc;R;1:05 PM EDT;Yankee Stadium;;;;
596142;31095;Sanchez, Gary;Gary Sanchez;nyy;H;R;1;2;2;2;2;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;.000;.000;.000;.000;.000;596001;36056;Junis, Jake;Jake Junis;kc;R;1:05 PM EDT;Yankee Stadium;;;;
592122;32161;Austin, Tyler;Tyler Austin;nyy;H;R;1;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;.000;.000;.000;.000;.000;596001;36056;Junis, Jake;Jake Junis;kc;R;1:05 PM EDT;Yankee Stadium;;;;
591720;31200;Torreyes, Ronald;Ronald Torreyes;nyy;H;R;1;;45;45;4;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;.000;.000;.000;.000;.000;596001;36056;Junis, Jake;Jake Junis;kc;R;1:05 PM EDT;Yankee Stadium;;;;
453056;28637;Ellsbury, Jacoby;Jacoby Ellsbury;nyy;H;L;1;7;7;7;7;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;.000;.000;.000;.000;.000;596001;36056;Junis, Jake;Jake Junis;kc;R;1:05 PM EDT;Yankee Stadium;;;;
456124;29524;Kratz, Erik;Erik Kratz;nyy;H;R;1;2;2;2;2;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;.000;.000;.000;.000;.000;596001;36056;Junis, Jake;Jake Junis;kc;R;1:05 PM EDT;Yankee Stadium;;;;
592450;33192;Judge, Aaron;Aaron Judge;nyy;H;R;1;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;.000;.000;.000;.000;.000;596001;36056;Junis, Jake;Jake Junis;kc;R;1:05 PM EDT;Yankee Stadium;;;;
595885;32695;Bird, Gregory;Greg Bird;nyy;H;L;1;3;3;3;3;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;.000;.000;.000;.000;.000;596001;36056;Junis, Jake;Jake Junis;kc;R;1:05 PM EDT;Yankee Stadium;;;;
453943;30004;Frazier, Todd;Todd Frazier;nyy;H;R;1;5;35;35;5;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;.000;.000;.000;.000;.000;596001;36056;Junis, Jake;Jake Junis;kc;R;1:05 PM EDT;Yankee Stadium;;;;
516770;30450;Castro, Starlin;Starlin Castro;nyy;H;R;1;4;6;6;6;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;.000;.000;.000;.000;.000;596001;36056;Junis, Jake;Jake Junis;kc;R;1:05 PM EDT;Yankee Stadium;;;;
543333;30993;Hosmer, Eric;Eric Hosmer;kc;A;L;1;3;3;3;3;;;;;47;13;13;3;2;1;0;0;1;0;0;3;0;0;0;.231;.231;.538;.769;.315;282332;4553;Sabathia, CC;CC Sabathia;nyy;L;1:05 PM EDT;Yankee Stadium;;;;
624585;32558;Soler, Jorge;Jorge Soler;kc;A;R;1;7;7;7;7;;;;;13;3;2;1;0;0;0;0;0;1;0;1;0;0;0;.500;.667;.500;1.167;.533;282332;4553;Sabathia, CC;CC Sabathia;nyy;L;1:05 PM EDT;Yankee Stadium;;;;
609275;32821;Mondesi, Raul;Raul Mondesi;kc;A;S;1;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;.000;.000;.000;.000;.000;282332;4553;Sabathia, CC;CC Sabathia;nyy;L;1:05 PM EDT;Yankee Stadium;;;;
449181;29357;Orlando, Paulo;Paulo Orlando;kc;A;R;1;7;7;7;7;;;;;7;3;3;2;0;0;0;0;0;0;0;0;0;0;0;.667;.667;.667;1.333;.600;282332;4553;Sabathia, CC;CC Sabathia;nyy;L;1:05 PM EDT;Yankee Stadium;;;;
460086;28636;Gordon, Alex;Alex Gordon;kc;A;L;1;7;7;7;7;;;;;147;37;33;6;2;0;0;2;2;3;0;6;1;0;0;.182;.270;.242;.513;.241;282332;4553;Sabathia, CC;CC Sabathia;nyy;L;1:05 PM EDT;Yankee Stadium;;;;
593160;32422;Merrifield, Whit;Whit Merrifield;kc;A;R;1;;;;;;;;;9;2;2;1;0;0;0;0;0;0;0;0;0;0;0;.500;.500;.500;1.000;.450;282332;4553;Sabathia, CC;CC Sabathia;nyy;L;1:05 PM EDT;Yankee Stadium;;;;
519058;29999;Moustakas, Mike;Mike Moustakas;kc;A;L;1;5;5;5;5;;;;;40;10;9;1;1;0;0;0;1;0;0;3;0;0;0;.111;.100;.222;.322;.125;282332;4553;Sabathia, CC;CC Sabathia;nyy;L;1:05 PM EDT;Yankee Stadium;;;;
593528;32153;Bonifacio, Jorge;Jorge Bonifacio;kc;A;R;1;;;;;;;;;8;3;3;1;0;0;0;0;0;0;0;1;0;0;0;.333;.333;.333;.667;.300;282332;4553;Sabathia, CC;CC Sabathia;nyy;L;1:05 PM EDT;Yankee Stadium;;;;
605253;33632;Gore, Terrance;Terrance Gore;kc;A;R;1;7;7;7;7;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;.000;.000;.000;.000;.000;282332;4553;Sabathia, CC;CC Sabathia;nyy;L;1:05 PM EDT;Yankee Stadium;;;;
460077;29436;Butera, Drew;Drew Butera;kc;A;R;1;2;2;2;2;;;;;12;3;3;1;0;0;0;1;1;0;0;1;0;0;0;.333;.333;.333;.667;.300;282332;4553;Sabathia, CC;CC Sabathia;nyy;L;1:05 PM EDT;Yankee Stadium;;;;
466320;6347;Cabrera, Melky;Melky Cabrera;kc;A;S;1;7;7;7;7;;;;;63;16;16;6;0;0;2;4;2;0;0;3;0;0;0;.375;.375;.750;1.125;.475;282332;4553;Sabathia, CC;CC Sabathia;nyy;L;1:05 PM EDT;Yankee Stadium;;;;
593527;33519;Torres, Ramon;Ramon Torres;kc;A;S;1;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;.000;.000;.000;.000;.000;282332;4553;Sabathia, CC;CC Sabathia;nyy;L;1:05 PM EDT;Yankee Stadium;;;;
521692;31127;Perez, Salvador;Salvador Perez;kc;A;R;1;2;2;2;2;;;;;25;10;10;1;1;0;0;0;0;0;0;1;0;0;0;.100;.100;.200;.300;.125;282332;4553;Sabathia, CC;CC Sabathia;nyy;L;1:05 PM EDT;Yankee Stadium;;;;
456715;29416;Cain, Lorenzo;Lorenzo Cain;kc;A;R;1;7;7;7;7;;;;;35;10;10;2;0;0;0;0;0;0;0;3;0;0;0;.200;.200;.200;.400;.180;282332;4553;Sabathia, CC;CC Sabathia;nyy;L;1:05 PM EDT;Yankee Stadium;;;;
444876;29229;Escobar, Alcides;Alcides Escobar;kc;A;R;1;6;6;6;6;;;;;39;14;14;3;2;0;0;1;0;0;0;2;0;2;0;.214;.214;.357;.571;.243;282332;4553;Sabathia, CC;CC Sabathia;nyy;L;1:05 PM EDT;Yankee Stadium;;;;
461235;28844;Moss, Brandon;Brandon Moss;kc;A;L;1;7;37;37;7;;;;;24;6;5;0;0;0;0;0;0;1;0;2;0;0;0;.000;.167;.000;.167;.117;282332;4553;Sabathia, CC;CC Sabathia;nyy;L;1:05 PM EDT;Yankee Stadium;;;;
596144;31682;Cuthbert, Cheslor;Cheslor Cuthbert;kc;A;R;1;5;5;5;5;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;.000;.000;.000;.000;.000;282332;4553;Sabathia, CC;CC Sabathia;nyy;L;1:05 PM EDT;Yankee Stadium;;;;
595956;33698;Gallagher, Cam;Cam Gallagher;kc;A;R;1;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;.000;.000;.000;.000;.000;282332;4553;Sabathia, CC;CC Sabathia;nyy;L;1:05 PM EDT;Yankee Stadium;;;;
452678;28671;Cabrera, Asdrubal;Asdrubal Cabrera;nym;H;S;1;6;6;6;6;;;;;5;1;1;0;0;0;0;0;0;0;0;1;0;0;0;.000;.000;.000;.000;.000;608371;32807;Sims, Lucas;Lucas Sims;atl;R;4:10 PM EDT;Citi Field;;;;
642086;33218;Smith, Dominic;Dominic Smith;nym;H;L;1;;;;;;;;;2;1;1;1;1;0;0;0;2;0;0;0;0;0;0;1.000;1.000;2.000;3.000;1.250;608371;32807;Sims, Lucas;Lucas Sims;atl;R;4:10 PM EDT;Citi Field;;;;
608325;32798;Cecchini, Gavin;Gavin Cecchini;nym;H;R;1;;;;;;;;;2;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1.000;1.000;1.000;2.000;.900;608371;32807;Sims, Lucas;Lucas Sims;atl;R;4:10 PM EDT;Citi Field;;;;
621512;36068;Nido, Tomas;Tomas Nido;nym;H;R;1;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;.000;.000;.000;.000;.000;608371;32807;Sims, Lucas;Lucas Sims;atl;R;4:10 PM EDT;Citi Field;;;;
527038;30627;Flores, Wilmer;Wilmer Flores;nym;H;R;1;6;46;46;6;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;.000;.000;.000;.000;.000;608371;32807;Sims, Lucas;Lucas Sims;atl;R;4:10 PM EDT;Citi Field;;;;
608700;33132;Plawecki, Kevin;Kevin Plawecki;nym;H;R;1;2;2;2;2;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;.000;.000;.000;.000;.000;608371;32807;Sims, Lucas;Lucas Sims;atl;R;4:10 PM EDT;Citi Field;;;;
408314;5411;Reyes, Jose;Jose Reyes;nym;H;S;1;6;6;6;6;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;.000;.000;.000;.000;.000;608371;32807;Sims, Lucas;Lucas Sims;atl;R;4:10 PM EDT;Citi Field;;;;
