"Name","Team","Game","Pos","PA","H","1B","2B","3B","HR","R","RBI","SB","CS","BB","SO","Yahoo","FanDuel","DraftKings","playerid"
"J.D. Martinez","Red Sox","TOR @ BOS","DH","4.47","1.35",".73",".31",".02",".29",".82",".94",".01",".01",".48",".87","9.68","15.15","11.35","6184"
"Giancarlo Stanton","Yankees","NYY @ MIN","DH","4.60","1.23",".62",".25",".00",".35",".76",".89",".01",".01",".42","1.25","9.29","14.53","10.89","4949"
"Paul Goldschmidt","Diamondbacks","ARI @ COL","1B","4.62","1.29",".76",".27",".03",".24",".76",".79",".07",".04",".61",".94","9.28","14.47","10.92","9218"
"Mookie Betts","Red Sox","TOR @ BOS","RF","4.68","1.33",".75",".36",".04",".18",".82",".60",".15",".07",".59",".52","9.23","14.30","10.93","13611"
"Mike Trout","Angels","TEX @ LAA","CF","4.42","1.20",".71",".22",".04",".24",".75",".67",".11",".05",".73",".73","9.14","14.20","10.72","10155"
"Khris Davis","Athletics","OAK @ BAL","DH","4.61","1.10",".54",".21",".01",".35",".75",".90",".01",".01",".45","1.11","9.02","14.14","10.50","9112"
"Matt Chapman","Athletics","OAK @ BAL","3B","4.82","1.20",".62",".28",".03",".27",".78",".75",".04",".03",".48","1.05","8.88","13.85","10.42","16505"
"Ramon Laureano","Athletics","OAK @ BAL","LF","4.93","1.26",".78",".24",".02",".22",".75",".60",".17",".09",".45","1.18","8.71","13.52","10.39","17128"
"Rhys Hoskins","Phillies","WSH @ PHI","LF","4.56","1.03",".53",".20",".02",".29",".79",".68",".05",".03",".67","1.01","8.71","13.56","10.08","16472"
"David Peralta","Diamondbacks","ARI @ COL","LF","4.72","1.41",".89",".28",".05",".19",".75",".72",".05",".03",".36",".74","8.54","13.31","10.23","2136"
"Miguel Andujar","Yankees","NYY @ MIN","3B","4.70","1.43",".86",".33",".02",".22",".74",".77",".03",".02",".18",".71","8.42","13.16","10.12","15878"
"A.J. Pollock","Diamondbacks","ARI @ COL","CF","4.95","1.29",".77",".30",".05",".17",".73",".58",".17",".08",".36",".81","8.41","13.05","10.09","9256"
"Charlie Blackmon","Rockies","ARI @ COL","CF","4.62","1.32",".81",".22",".07",".22",".71",".59",".10",".05",".35",".86","8.39","13.02","10.10","7859"
"Aaron Hicks","Yankees","NYY @ MIN","CF","4.81","1.12",".66",".21",".03",".22",".76",".63",".10",".06",".60",".92","8.46","13.16","9.93","5297"
"Andrew McCutchen","Yankees","NYY @ MIN","RF","4.92","1.24",".75",".25",".02",".23",".75",".61",".06",".03",".49","1.08","8.33","12.96","9.87","9847"
"Alex Bregman","Astros","HOU @ DET","3B","4.81","1.31",".82",".31",".03",".16",".71",".66",".09",".06",".44",".58","8.30","12.91","9.89","17678"
"Jose Altuve","Astros","HOU @ DET","2B","4.92","1.52","1.11",".28",".03",".11",".71",".56",".14",".06",".34",".59","8.18","12.70","9.99","5417"
"Eduardo Escobar","Diamondbacks","ARI @ COL","SS","4.83","1.28",".73",".32",".05",".18",".77",".64",".05",".03",".37",".83","8.23","12.82","9.79","6153"
"Bryce Harper","Nationals","WSH @ PHI","RF","4.59",".91",".46",".19",".01",".26",".69",".65",".05",".03",".83","1.37","8.32","12.94","9.55","11579"
"Matt Olson","Athletics","OAK @ BAL","1B","4.50","1.08",".55",".24",".00",".29",".68",".75",".02",".01",".46",".96","8.22","12.84","9.61","14344"
"Nolan Arenado","Rockies","ARI @ COL","3B","4.39","1.18",".67",".24",".03",".24",".69",".71",".02",".01",".39",".76","8.04","12.55","9.51","9777"
"Gary Sanchez","Yankees","NYY @ MIN","C","4.39","1.09",".58",".21",".00",".30",".67",".77",".02",".01",".32",".98","8.01","12.54","9.42","11442"
"Steven Souza Jr.","Diamondbacks","ARI @ COL","RF","4.42","1.12",".66",".25",".03",".19",".62",".74",".06",".04",".50","1.01","7.99","12.48","9.40","5667"
"Jose Ramirez","Indians","CLE @ TB","3B","4.69","1.00",".56",".25",".03",".16",".62",".57",".11",".06",".80",".76","8.00","12.40","9.30","13510"
"Max Muncy","Dodgers","LAD @ CIN","1B","4.71",".96",".51",".19",".01",".24",".70",".55",".03",".03",".76","1.28","7.98","12.39","9.23","13301"
"Eddie Rosario","Twins","NYY @ MIN","LF","4.51","1.27",".77",".28",".03",".19",".58",".73",".07",".05",".29",".88","7.82","12.21","9.37","12155"
"Nelson Cruz","Mariners","SD @ SEA","DH","4.32","1.07",".65",".16",".01",".25",".64",".77",".01",".01",".51",".76","7.89","12.35","9.23","2434"
"Didi Gregorius","Yankees","NYY @ MIN","SS","4.50","1.26",".77",".26",".03",".20",".65",".70",".05",".03",".28",".53","7.82","12.21","9.35","6012"
"Ronald Acuna","Braves","ATL @ SF","LF","4.77","1.22",".76",".26",".03",".18",".62",".49",".16",".11",".39","1.07","7.79","12.06","9.38","18401"
"Shohei Ohtani","Angels","TEX @ LAA","DH","4.32","1.10",".64",".21",".02",".24",".62",".80",".02",".01",".38",".99","7.81","12.24","9.19","19755"
"Trevor Story","Rockies","ARI @ COL","SS","4.20","1.14",".60",".27",".04",".22",".61",".70",".07",".04",".28","1.12","7.77","12.13","9.25","12564"
"Justin Bour","Phillies","WSH @ PHI","1B","4.44",".96",".54",".15",".01",".26",".67",".68",".01",".00",".66","1.04","7.86","12.27","9.10","9744"
"Trea Turner","Nationals","WSH @ PHI","SS","4.70","1.14",".79",".17",".04",".14",".66",".47",".28",".10",".39","1.15","7.76","12.01","9.36","16252"
"Andrew Benintendi","Red Sox","TOR @ BOS","LF","4.58","1.17",".76",".28",".03",".11",".77",".57",".10",".06",".51",".69","7.78","12.11","9.19","17901"
"Bryce Harper","Nationals","","RF","4.54",".90",".47",".19",".01",".23",".62",".60",".04",".03",".79","1.21","7.79","12.11","8.98","11579"
"Mitch Haniger","Mariners","SD @ SEA","RF","4.64","1.15",".72",".24",".02",".18",".68",".53",".06",".03",".54",".90","7.67","11.90","9.08","14274"
