"Name","Team","Game","W","IP","TBF","H","1B","2B","3B","HR","BB","SO","Yahoo","FanDuel","DraftKings","playerid"
"Max Scherzer","Nationals","MIA @ WAS",".51","7.00","28.12","6.01","3.91","1.04",".08",".98","1.77","8.60","27.50","46.44","25.93","3137"
"Jake Arrieta","Cubs","CHN @ SFN",".42","6.15","26.09","5.82","4.08","1.15",".15",".43","2.52","4.97","16.84","31.89","15.86","4153"
"JC Ramirez","Angels","BAL @ ANA",".38","5.99","25.52","6.11","3.84","1.12",".06","1.09","2.05","5.46","16.41","30.82","15.37","8302"
"Ervin Santana","Twins","MIL @ MIN",".33","5.99","25.64","6.35","3.80","1.17",".11","1.27","2.03","5.86","16.27","30.80","15.33","3200"
"Ian Kennedy","Royals","SLN @ KCA",".34","5.79","24.91","5.70","3.51","1.13",".13",".93","2.49","5.46","15.75","30.00","14.84","6986"
"Matt Moore","Giants","CHN @ SFN",".30","5.79","24.65","5.32","3.52","1.04",".12",".63","2.61","4.96","15.58","29.34","14.53","1890"
"Tim Adleman","Reds","SDN @ CIN",".35","5.80","24.44","5.96","3.59","1.04",".13","1.19","1.78","4.97","15.15","28.36","14.05","10968"
"Carlos Martinez","Cardinals","SLN @ KCA",".37","5.67","24.88","6.01","4.03","1.25",".12",".61","2.55","4.85","13.98","27.95","13.30","11682"
"Jordan Zimmermann","Tigers","DET @ PIT",".36","5.92","24.91","6.16","4.04","1.18",".10",".83","1.74","4.28","14.51","27.67","13.41","4505"
"Trevor Williams","Pirates","DET @ PIT",".36","5.85","24.72","6.10","4.22","1.16",".10",".62","1.82","4.13","14.25","27.29","13.19","16977"
"Jhoulys Chacin","Padres","SDN @ CIN",".35","5.58","24.52","5.74","3.76","1.05",".12",".81","2.75","4.62","13.08","26.50","12.42","2608"
"Dylan Bundy","Orioles","BAL @ ANA",".33","5.74","24.91","5.90","3.54","1.04",".07","1.25","2.46","4.48","12.81","25.80","12.02","12917"
"Brent Suter","Brewers","MIL @ MIN",".35","5.34","23.29","5.89","3.91","1.16",".12",".70","2.10","3.85","11.73","23.69","10.98","13942"
"Chris O'Grady","Marlins","MIA @ WAS",".23","5.23","23.04","5.64","3.66","1.13",".06",".79","2.38","3.86","10.73","22.21","10.07","13818"
