"Name","Team","Game","W","IP","TBF","H","1B","2B","3B","HR","BB","SO","Yahoo","FanDuel","DraftKings","playerid"
"Corey Kluber","Indians","DET @ CLE",".56","7.36","28.81","5.82","3.84","1.22",".09",".67","1.56","8.90","30.58","50.45","28.91","2429"
"Jose Quintana","Cubs","NYN @ CHN",".59","7.01","27.90","5.66","3.94","1.12",".18",".43","1.94","7.19","26.25","44.60","24.72","11423"
"Clayton Kershaw","Dodgers","LAN @ SFN",".54","6.64","26.17","5.45","3.86","1.09",".11",".39","1.42","7.45","26.67","44.38","24.78","2036"
"Eduardo Rodriguez","Red Sox","OAK @ BOS",".45","6.46","26.70","5.83","3.26","1.23",".07","1.27","2.09","7.65","22.80","39.73","21.45","13164"
"Justin Verlander","Astros","HOU @ ANA",".42","6.63","27.57","5.89","3.70","1.07",".06","1.07","2.44","6.76","21.11","37.70","20.01","8700"
"Blake Snell","Rays","NYA @ TBA",".38","6.10","25.55","4.84","3.23",".87",".07",".66","3.08","6.46","20.21","36.28","19.04","13543"
"Gerrit Cole","Pirates","PIT @ MIL",".38","6.20","26.27","5.99","3.60","1.13",".11","1.15","2.34","6.58","18.98","34.77","17.98","13125"
"Jon Gray","Rockies","COL @ ARI",".36","5.71","24.52","5.25","3.17","1.11",".16",".82","2.76","6.20","17.62","32.52","16.68","14916"
"Sonny Gray","Yankees","NYA @ TBA",".37","6.27","26.51","5.88","3.84","1.10",".16",".78","2.58","5.51","17.37","32.66","16.41","12768"
"Gio Gonzalez","Nationals","ATL @ WAS",".42","6.50","27.69","6.51","4.60","1.31",".10",".50","2.50","5.16","17.01","32.82","16.20","7448"
"Taijuan Walker","Diamondbacks","COL @ ARI",".36","6.23","26.24","6.15","3.73","1.30",".17",".94","2.11","5.54","17.16","32.02","16.08","11836"
"Lance Lynn","Cardinals","CIN @ SLN",".40","6.24","26.53","5.76","3.78","1.16",".12",".69","2.81","5.07","16.63","31.78","15.68","2520"
"Joe Biagini","Blue Jays","BAL @ TOR",".36","5.89","24.99","5.87","3.44","1.31",".10","1.02","2.05","5.50","16.55","30.71","15.46","13194"
"Johnny Cueto","Giants","LAN @ SFN",".23","6.21","26.37","6.05","3.93","1.22",".17",".73","2.40","5.15","15.94","30.57","14.90","6893"
"Dylan Bundy","Orioles","BAL @ TOR",".36","5.81","25.00","5.55","3.16","1.15",".07","1.17","2.63","5.17","14.97","28.75","14.09","12917"
"Kyle Gibson","Twins","SDN @ MIN",".42","6.01","25.63","6.27","4.24","1.19",".17",".67","2.14","4.47","14.74","28.75","13.82","10123"
"Garrett Richards","Angels","HOU @ ANA",".33","5.98","25.45","5.93","4.03","1.16",".08",".66","2.34","4.51","14.74","28.58","13.77","9784"
"Robert Stephenson","Reds","CIN @ SLN",".32","5.40","23.84","5.00","3.27",".99",".07",".66","3.28","5.23","14.35","28.07","13.71","13594"
"Dillon Peters","Marlins","MIA @ PHI",".41","5.51","23.19","5.45","3.57","1.04",".12",".71","1.91","4.48","14.97","27.44","13.83","18790"
"Sam Gaviglio","Royals","CHA @ KCA",".40","5.66","23.80","5.69","3.82","1.08",".19",".60","1.85","4.09","14.37","26.89","13.22","12778"
"Julio Teheran","Braves","ATL @ WAS",".33","5.96","25.48","6.38","4.14","1.24",".09",".90","2.01","4.41","13.68","27.12","12.82","6797"
"Nick Pivetta","Phillies","MIA @ PHI",".26","5.29","22.92","5.33","3.27",".91",".08","1.07","2.34","5.13","13.90","26.40","13.05","15454"
"Matt Boyd","Tigers","DET @ CLE",".22","5.54","24.02","5.44","3.42","1.11",".07",".83","2.66","4.32","12.59","25.12","11.78","15440"
"Brent Suter","Brewers","PIT @ MIL",".30","5.29","22.71","5.27","3.27",".97",".12",".91","2.22","4.33","13.02","24.68","12.08","13942"
"Sean Manaea","Athletics","OAK @ BOS",".28","5.52","24.61","6.48","4.13","1.44",".09",".82","2.36","4.00","10.48","23.14","10.01","15873"
"Miguel Gonzalez","Phillies","SEA @ TEX",".27","4.98","22.61","5.15","3.21",".92",".07",".95","3.12","4.04","9.82","21.30","9.43","15675"
"Marco Gonzales","Mariners","SEA @ TEX",".26","4.45","19.67","4.65","2.89",".84",".10",".82","2.26","3.98","10.52","20.12","9.95","15467"
"Robert Gsellman","Mets","NYN @ CHN",".18","5.06","23.04","5.69","3.81","1.17",".12",".58","2.85","3.34","8.20","19.32","7.87","13696"
"Dylan Covey","White Sox","CHA @ KCA",".28","5.32","23.70","6.09","4.06","1.25",".12",".66","2.36","2.52","7.80","18.56","7.27","14825"
"Travis Wood","Padres","CHA @ KCA",".00",".56","2.37",".51",".34",".10",".02",".06",".25",".47","1.25","2.18","1.13","9884"
