Jose Abreu;2407;0.5;0.84;0.352;0.238;9.4; 0.46; 0.816; 0.348; 0.159;10.5
Dustin Ackley;7677;0.154;0.421;0.209;0;5.1; 0.146; 0.382; 0.187; 0;3.8
Cristhian Adames;2418;0.319;0.611;0.27;0.097;7.6; 0.294; 0.604; 0.276; 0.078;6
Matt Adams;3223;0.522;0.822;0.339;0.239;14.3; 0.462; 0.773; 0.329; 0.219;9.2
Ehire Adrianza;6297;0.5;0.853;0.365;0.147;6; 0.241; 0.484; 0.226; 0.103;7
Jesus Aguilar;2415;0;0;0;0;0; 0; 0; 0; 0;0
Nick Ahmed;2500;0.366;0.633;0.272;0.122;6.4; 0.272; 0.536; 0.234; 0.064;5.2
Hanser Alberto;2573;0.136;0.273;0.12;0;2.3; 0.176; 0.324; 0.14; 0.029;3.1
Arismendy Alcantara;2402;0.167;0.333;0.146;0;9; 0.308; 0.538; 0.231; 0.077;2
Jorge Alfaro;2667;0;0.333;0;0;3; 0.143; 0.286; 0.125; 0;1
Abraham Almonte;7802;0.456;0.771;0.327;0.177;8.9; 0.368; 0.649; 0.274; 0.114;9.7
Albert Almora Jr.;2703;0.548;0.827;0.344;0.286;8.8; 0.4; 0.724; 0.314; 0.114;8.1
Yonder Alonso;3196;0.333;0.617;0.269;0.106;6.7; 0.373; 0.694; 0.303; 0.116;7.6
Aaron Altherr;2451;0.375;0.723;0.322;0.125;10.1; 0.272; 0.565; 0.256; 0.082;7.8
Jose Altuve;4252;0.494;0.885;0.378;0.188;11.4; 0.544; 0.942; 0.395; 0.196;13.7
Dariel Alvarez;2604;0.667;1;0.414;0.334;6; 0; 1; 0.691; 0;0
Pedro Alvarez;5195;0.368;0.654;0.282;0.131;16.9; 0.522; 0.848; 0.358; 0.271;9.8
Alexi Amarista;4243;0.15;0.293;0.125;0;0; 0.292; 0.612; 0.269; 0.017;6.3
Tim Anderson;2704;0.457;0.797;0.342;0.131;9.9; 0.425; 0.721; 0.308; 0.155;9.2
Robert Andino;6172;0.273;0.545;0.24;0;4.6; 0.308; 0.615; 0.27; 0;9.3
Elvis Andrus;6222;0.491;0.891;0.377;0.146;10.4; 0.423; 0.773; 0.335; 0.133;9.7
Norichika Aoki;7738;0.258;0.557;0.256;0.031;4; 0.428; 0.793; 0.346; 0.128;10.4
Orlando Arcia;2658;0.457;0.845;0.368;0.174;10.4; 0.329; 0.564; 0.243; 0.129;7.1
Oswaldo Arcia;7776;0.27;0.539;0.244;0.081;6.6; 0.388; 0.659; 0.284; 0.182;7.8
Nolan Arenado;5219;0.503;0.875;0.36;0.236;12.4; 0.593; 0.951; 0.395; 0.289;13.5
Cody Asche;5233;0.364;0.734;0.332;0.137;9.2; 0.349; 0.621; 0.271; 0.138;7.2
Carlos Asuaje;2748;0.333;0.556;0.236;0.111;4.8; 0.267; 0.517; 0.231; 0.067;7
Tyler Austin;2727;0.652;1.097;0.46;0.304;10.5; 0.383; 0.621; 0.266; 0.183;7.9
Alex Avila;2309;0.4;0.844;0.385;0.15;8.4; 0.369; 0.715; 0.32; 0.161;7.4
Mike Aviles;6213;0.219;0.48;0.221;0.016;5.8; 0.301; 0.558; 0.246; 0.087;5.8
Erick Aybar;6182;0.288;0.532;0.226;0.054;5.5; 0.332; 0.655; 0.287; 0.085;7
Javier Baez;2513;0.475;0.85;0.359;0.164;9.9; 0.401; 0.689; 0.297; 0.143;9.8
Jett Bandy;2613;0.424;0.696;0.296;0.221;6.8; 0.38; 0.664; 0.286; 0.133;7.9
Austin Barnes;2571;0.333;0.795;0.376;0.111;8.5; 0.13; 0.297; 0.139; 0;3
Brandon Barnes;7758;0.296;0.519;0.222;0.074;5; 0.329; 0.589; 0.256; 0.11;5.9
Darwin Barney;6240;0.418;0.779;0.336;0.112;7.6; 0.348; 0.649; 0.284; 0.099;5.7
Tucker Barnhart;2411;0.305;0.546;0.233;0.098;7.9; 0.4; 0.744; 0.318; 0.129;7.8
Jose Bautista;5130;0.429;0.752;0.327;0.209;11.9; 0.458; 0.834; 0.361; 0.22;10.9
Gordon Beckham;6229;0.364;0.667;0.287;0.143;8.8; 0.339; 0.629; 0.278; 0.131;6.5
Tim Beckham;6270;0.448;0.792;0.342;0.172;7.8; 0.423; 0.688; 0.292; 0.198;9.9
Josh Bell;2670;0.211;0.515;0.243;0;6.2; 0.44; 0.82; 0.356; 0.156;8.1
Brandon Belt;3211;0.492;0.883;0.381;0.213;11.6; 0.466; 0.861; 0.37; 0.193;10.2
Carlos Beltran;7023;0.589;0.97;0.407;0.251;8; 0.484; 0.805; 0.34; 0.205;11.6
Adrian Beltre;5006;0.602;1.004;0.418;0.271;12.4; 0.498; 0.842; 0.357; 0.207;10.7
Andrew Benintendi;2722;0.179;0.429;0.202;0;2.5; 0.584; 0.984; 0.416; 0.246;10.9
James Beresford;2739;0;1;0.691;0;0; 0.273; 0.5; 0.216; 0.046;3.5
Christian Bethancourt;2390;0.366;0.677;0.298;0.122;4; 0.368; 0.62; 0.266; 0.144;8.1
